Episode,Total Reward,Steps Taken,state,Path,Final_position,Epsilon,Done
61,-1,20,"(4, 0)","(0, 0);(1, 0);(0, 0);(0, 0);(0, 0);(1, 0);(1, 1);(2, 1);(2, 0);(3, 0);(4, 0);(5, 0);(5, 0);(4, 0);(5, 0);(4, 0);(4, 1);(3, 1);(3, 0);(4, 0)","(5, 0)",0.736559652908221,False
62,0,20,"(4, 0)","(1, 0);(0, 0);(1, 0);(2, 0);(2, 0);(2, 1);(2, 0);(3, 0);(4, 0);(3, 0);(3, 0);(4, 0);(5, 0);(5, 0);(5, 0);(5, 0);(5, 0);(5, 1);(4, 1);(4, 0)","(4, 1)",0.7328768546436799,False
63,0,20,"(5, 0)","(0, 0);(1, 0);(2, 0);(2, 0);(2, 1);(3, 1);(3, 0);(3, 1);(4, 1);(5, 1);(5, 1);(5, 1);(5, 1);(5, 2);(5, 1);(5, 1);(5, 0);(4, 0);(5, 0);(5, 0)","(5, 0)",0.7292124703704616,False
64,0,20,"(3, 0)","(0, 0);(0, 0);(0, 0);(1, 0);(2, 0);(3, 0);(4, 0);(4, 1);(4, 0);(5, 0);(4, 0);(4, 0);(4, 1);(4, 0);(3, 0);(4, 0);(4, 0);(4, 1);(4, 0);(3, 0)","(2, 0)",0.7255664080186093,False
65,0,20,"(5, 2)","(1, 0);(2, 0);(2, 0);(1, 0);(0, 0);(1, 0);(2, 0);(3, 0);(3, 0);(3, 1);(3, 2);(3, 1);(3, 0);(3, 0);(4, 0);(4, 1);(4, 0);(5, 0);(5, 1);(5, 2)","(4, 2)",0.7219385759785162,False
66,0,20,"(5, 0)","(0, 0);(0, 0);(0, 0);(0, 1);(0, 0);(1, 0);(0, 0);(1, 0);(2, 0);(2, 0);(3, 0);(4, 0);(4, 1);(4, 0);(3, 0);(4, 0);(5, 0);(5, 0);(5, 0);(5, 0)","(4, 0)",0.7183288830986236,False
67,-2,20,"(2, 1)","(1, 0);(1, 1);(0, 1);(0, 2);(1, 2);(2, 2);(2, 1);(2, 0);(2, 0);(1, 0);(1, 0);(1, 1);(2, 1);(2, 0);(2, 1);(2, 0);(3, 0);(3, 0);(2, 0);(2, 1)","(1, 1)",0.7147372386831305,False
68,0,20,"(5, 2)","(1, 0);(2, 0);(2, 1);(2, 0);(2, 0);(3, 0);(4, 0);(5, 0);(5, 0);(4, 0);(5, 0);(5, 0);(5, 1);(5, 0);(5, 0);(5, 0);(5, 1);(5, 1);(5, 1);(5, 2)","(5, 1)",0.7111635524897149,False
69,0,20,"(5, 0)","(1, 0);(2, 0);(2, 0);(2, 1);(2, 0);(3, 0);(4, 0);(5, 0);(5, 0);(5, 1);(5, 0);(5, 1);(5, 0);(5, 1);(5, 0);(5, 1);(5, 1);(4, 1);(4, 0);(5, 0)","(5, 0)",0.7076077347272662,False
70,0,20,"(4, 2)","(1, 0);(1, 0);(1, 0);(2, 0);(1, 0);(1, 0);(2, 0);(2, 1);(2, 0);(3, 0);(2, 0);(2, 1);(2, 0);(3, 0);(2, 0);(3, 0);(3, 0);(3, 1);(3, 2);(4, 2)","(4, 1)",0.7040696960536299,False
71,-1,20,"(0, 2)","(1, 0);(2, 0);(2, 1);(2, 0);(2, 1);(1, 1);(2, 1);(3, 1);(3, 2);(3, 1);(3, 2);(2, 2);(1, 2);(2, 2);(2, 1);(2, 2);(1, 2);(0, 2);(0, 2);(0, 2)","(1, 2)",0.7005493475733617,False
72,0,20,"(4, 0)","(1, 0);(2, 0);(2, 0);(3, 0);(4, 0);(4, 1);(3, 1);(3, 0);(3, 1);(4, 1);(4, 0);(5, 0);(5, 1);(4, 1);(3, 1);(4, 1);(3, 1);(4, 1);(4, 0);(4, 0)","(4, 0)",0.697046600835495,False
73,-1,20,"(2, 2)","(0, 0);(0, 1);(0, 0);(0, 0);(1, 0);(1, 1);(1, 2);(1, 3);(0, 3);(1, 3);(2, 3);(3, 3);(3, 2);(3, 1);(3, 2);(2, 2);(1, 2);(2, 2);(2, 3);(2, 2)","(3, 2)",0.6935613678313175,False
74,-1,20,"(2, 0)","(1, 0);(2, 0);(1, 0);(0, 0);(0, 1);(0, 0);(0, 0);(0, 0);(1, 0);(1, 0);(2, 0);(2, 0);(1, 0);(0, 0);(1, 0);(1, 1);(0, 1);(0, 0);(1, 0);(2, 0)","(3, 0)",0.6900935609921609,False
75,-4,20,"(3, 0)","(0, 0);(0, 0);(1, 0);(1, 0);(2, 0);(1, 0);(1, 1);(2, 1);(1, 1);(2, 1);(1, 1);(1, 0);(1, 0);(2, 0);(2, 1);(1, 1);(1, 0);(2, 0);(2, 0);(3, 0)","(4, 0)",0.6866430931872001,False
76,0,20,"(5, 2)","(1, 0);(2, 0);(3, 0);(4, 0);(5, 0);(5, 0);(5, 0);(5, 0);(5, 0);(5, 1);(5, 1);(5, 0);(5, 1);(5, 1);(5, 1);(5, 0);(5, 0);(5, 0);(5, 1);(5, 2)","(4, 2)",0.6832098777212641,False
77,-2,20,"(3, 1)","(1, 0);(1, 0);(2, 0);(1, 0);(2, 0);(2, 1);(1, 1);(2, 1);(1, 1);(2, 1);(2, 0);(3, 0);(4, 0);(4, 1);(4, 0);(3, 0);(2, 0);(3, 0);(3, 0);(3, 1)","(2, 1)",0.6797938283326578,False
78,-1,20,"(4, 1)","(0, 0);(0, 1);(0, 1);(0, 1);(0, 2);(0, 1);(1, 1);(2, 1);(2, 2);(1, 2);(2, 2);(3, 2);(3, 3);(2, 3);(3, 3);(3, 2);(3, 1);(3, 2);(4, 2);(4, 1)","(4, 0)",0.6763948591909945,False
